slug,name,school,birth_year,death_year,era,coverage,storage_path,source,license,citation_source,notes
seosan-hyujeong,Seosan Hyujeong,seon,1520,1604,early-modern,portrait,/masters/seosan-hyujeong.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
sessan-tetsuzen,Sessan Tetsuzen,soto,,,unknown,placeholder,/masters/sessan-tetsuzen.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
sesso-hoseki,Sesso Hoseki,soto,,,unknown,placeholder,/masters/sesso-hoseki.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
sesso-yuho,Sesso Yuho,soto,,1576,medieval,placeholder,/masters/sesso-yuho.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
seung-sahn,Seung Sahn,kwan-um,1927,2004,modern,portrait,/masters/seung-sahn.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
shakyamuni-buddha,Shakyamuni Buddha,indian-patriarchs,-563,-483,ancient,portrait,/masters/shakyamuni-buddha.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
shanakavasa,Shanakavasa,indian-patriarchs,-450,,ancient,portrait,/masters/shanakavasa.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
shanglan-lingchao,Shanglan Lingchao,qingyuan-line,,,unknown,placeholder,/masters/shanglan-lingchao.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
shaoshan-huanpu,Shaoshan Huanpu,qingyuan-line,,,unknown,placeholder,/masters/shaoshan-huanpu.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
shengshou-nanyin,Shengshou Nanyin,early-chan,,,unknown,placeholder,/masters/shengshou-nanyin.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
shexian-guixing,Shexian Guixing,caodong,,,unknown,placeholder,/masters/shexian-guixing.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
shibayama-zenkei,Shibayama Zenkei,rinzai,1894,1974,modern,portrait,/masters/shibayama-zenkei.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
shido-bunan,Shido Bunan,rinzai,1603,1676,early-modern,portrait,/masters/shido-bunan.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
shinchi-kakushin,Shinchi Kakushin,rinzai,1207,1298,medieval,portrait,/masters/shinchi-kakushin.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
shingan-doku,Shingan Doku,soto,1374,1449,medieval,placeholder,/masters/shingan-doku.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
shishuang-chuyuan,Shishuang Chuyuan,linji,,,unknown,placeholder,/masters/shishuang-chuyuan.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
shishuang-qingzhu,Shishuang Qingzhu,qingyuan-line,807,888,classical,placeholder,/masters/shishuang-qingzhu.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
shitou-xiqian,Shitou Xiqian,qingyuan-line,700,790,classical,portrait,/masters/shitou-xiqian.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
shiwu-qinggong,Shiwu Qinggong,yangqi-line,1272,1352,medieval,portrait,/masters/shiwu-qinggong.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
shizan-tokuchu,Shizan Tokuchu,soto,,,unknown,placeholder,/masters/shizan-tokuchu.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
shogaku-kenryu,Shogaku Kenryu,soto,,1485,medieval,placeholder,/masters/shogaku-kenryu.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
shoju-rojin,Shoju Rojin,rinzai,1642,1721,early-modern,portrait,/masters/shoju-rojin.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
shoryu-koho,Shoryu Koho,soto,1827,1912,modern,placeholder,/masters/shoryu-koho.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
shoun-hozui,Shoun Hozui,soto,,,unknown,placeholder,/masters/shoun-hozui.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
shoushan-xingnian,Shoushan Xingnian,linji,,,unknown,placeholder,/masters/shoushan-xingnian.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
shugan-dochin,Shugan Dochin,soto,,1387,medieval,placeholder,/masters/shugan-dochin.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
shuho-myocho,Shuho Myocho,rinzai,1282,1337,medieval,portrait,/masters/shuho-myocho.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
shunryu-suzuki,Shunryu Suzuki,soto,1904,1971,modern,portrait,/masters/shunryu-suzuki.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
shushan-kuangren,Shushan Kuangren,qingyuan-line,,,unknown,placeholder,/masters/shushan-kuangren.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
shuzan-shunsho,Shuzan Shunsho,soto,1590,1647,early-modern,placeholder,/masters/shuzan-shunsho.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
simha,Simha,indian-patriarchs,450,,ancient,portrait,/masters/simha.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
sixin-wuxin,Sixin Wuxin,yangqi-line,,,unknown,placeholder,/masters/sixin-wuxin.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
sohan-genyo,Sohan Genyo,rinzai,1848,1922,modern,placeholder,/masters/sohan-genyo.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
songshan-puji,Songshan Puji,early-chan,,,unknown,portrait,/masters/songshan-puji.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
soyen-shaku,Soyen Shaku,rinzai,1860,1919,modern,portrait,/masters/soyen-shaku.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
stephane-kosen-thibaut,Stephane Kosen Thibaut,soto,,,unknown,placeholder,/masters/stephane-kosen-thibaut.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
suizhou-daoyuan,Suizhou Daoyuan,early-chan,,,unknown,placeholder,/masters/suizhou-daoyuan.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
susan-myoyu-andersen,Susan Myoyu Andersen,white-plum-asanga,,2020,modern,placeholder,/masters/susan-myoyu-andersen.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
taego-bou,Taego Bou,taego-order,1301,1382,medieval,portrait,/masters/taego-bou.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
taiei-zesho,Taiei Zesho,soto,,,unknown,placeholder,/masters/taiei-zesho.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
taiga-tankyo,Taiga Tankyo,rinzai,,,unknown,placeholder,/masters/taiga-tankyo.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
taigen-shigen,Taigen Shigen,rinzai,1768,1837,early-modern,placeholder,/masters/taigen-shigen.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
taigen-soshin,Taigen Soshin,soto,,,unknown,placeholder,/masters/taigen-soshin.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
taigu-puyu,Taigu Puyu,other,,,unknown,placeholder,/masters/taigu-puyu.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
taiping-huiqin,Taiping Huiqin,linji,,,unknown,placeholder,/masters/taiping-huiqin.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
taisen-deshimaru,Taisen Deshimaru,soto,1914,1982,modern,portrait,/masters/taisen-deshimaru.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
taiyuan-fu,Taiyuan Fu,qingyuan-line,,,unknown,placeholder,/masters/taiyuan-fu.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
taizan-maezumi,Taizan Maezumi,soto,1931,1995,modern,portrait,/masters/taizan-maezumi.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
takuju-kosen,Takuju Kosen,rinzai,1760,1833,early-modern,portrait,/masters/takuju-kosen.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
tankai-gensho,Tankai Gensho,rinzai,1811,1898,early-modern,placeholder,/masters/tankai-gensho.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
tekisui-giboku,Tekisui Giboku,rinzai,1822,1899,early-modern,placeholder,/masters/tekisui-giboku.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
tenrin-kanshu,Tenrin Kanshu,soto,,,unknown,placeholder,/masters/tenrin-kanshu.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
tenyu-soen,Tenyu Soen,soto,,,unknown,placeholder,/masters/tenyu-soen.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
tessan-shikaku,Tessan Shikaku,soto,,1376,medieval,placeholder,/masters/tessan-shikaku.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
tetto-giko,Tetto Giko,rinzai,1295,1369,medieval,portrait,/masters/tetto-giko.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
tettsu-gikai,Tettsu Gikai,soto,1219,1309,medieval,portrait,/masters/tettsu-gikai.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
thich-nhat-hanh,Thích Nhất Hạnh,plum-village,1926,2022,modern,portrait,/masters/thich-nhat-hanh.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
tianhuang-daowu,Tianhuang Daowu,qingyuan-line,748,807,classical,portrait,/masters/tianhuang-daowu.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
tianping-congyi,Tianping Congyi,qingyuan-line,,,unknown,placeholder,/masters/tianping-congyi.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
tiantai-deshao,Tiantai Deshao,fayan,891,972,classical,portrait,/masters/tiantai-deshao.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
tiantong-rujing,Tiantong Rujing,caodong,,,unknown,portrait,/masters/tiantong-rujing.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
tiantong-zongjue,Tiantong Zongjue,caodong,,,unknown,portrait,/masters/tiantong-zongjue.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
tianyi-yihuai,Tianyi Yihuai,yunmen,993,1064,medieval,placeholder,/masters/tianyi-yihuai.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
tokuo-ryoko,Tokuo Ryoko,soto,1649,1709,early-modern,placeholder,/masters/tokuo-ryoko.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
tongan-daopi,Tongan Daopi,caodong,,,unknown,portrait,/masters/tongan-daopi.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
tongan-guanzhi,Tongan Guanzhi,caodong,,,unknown,portrait,/masters/tongan-guanzhi.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
tongfeng-anzhu,Tongfeng Anzhu,linji,,,unknown,placeholder,/masters/tongfeng-anzhu.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
touzi-datong,Touzi Datong,qingyuan-line,819,914,classical,placeholder,/masters/touzi-datong.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
touzi-yiqing,Touzi Yiqing,caodong,,,unknown,portrait,/masters/touzi-yiqing.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
toyo-eicho,Toyo Eicho,rinzai,1428,1504,medieval,placeholder,/masters/toyo-eicho.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
tozen-soshin,Tozen Soshin,rinzai,1532,1602,early-modern,placeholder,/masters/tozen-soshin.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
tran-nhan-tong,Trần Nhân Tông,truc-lam,1258,1308,medieval,portrait,/masters/tran-nhan-tong.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
umpo-zenjo,Umpo Zenjo,rinzai,,,unknown,placeholder,/masters/umpo-zenjo.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
ungai-kozan,Ungai Kozan,soto,,,unknown,placeholder,/masters/ungai-kozan.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
upagupta,Upagupta,indian-patriarchs,-250,,ancient,portrait,/masters/upagupta.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
vasasita,Vasasita,indian-patriarchs,450,,ancient,portrait,/masters/vasasita.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
vasubandhu,Vasubandhu,indian-patriarchs,316,396,ancient,portrait,/masters/vasubandhu.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
vasumitra,Vasumitra,indian-patriarchs,-150,,ancient,portrait,/masters/vasumitra.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
vincent-keisen-vuillemin,Vincent Keisen Vuillemin,soto,,,unknown,placeholder,/masters/vincent-keisen-vuillemin.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
vinitaruci,Vinītaruci,thien,,594,classical,placeholder,/masters/vinitaruci.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
vo-ngon-thong,Vô Ngôn Thông,thien,,826,classical,portrait,/masters/vo-ngon-thong.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
wang-yanbin,Wang Yanbin,qingyuan-line,,,unknown,placeholder,/masters/wang-yanbin.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
wenshu-yingzhen,Wenshu Yingzhen,caodong,,,unknown,placeholder,/masters/wenshu-yingzhen.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
william-nyogen-yeo,William Nyogen Yeo,white-plum-asanga,,,unknown,placeholder,/masters/william-nyogen-yeo.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
wufeng-changguan,Wufeng Changguan,nanyue-line,,,unknown,placeholder,/masters/wufeng-changguan.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
wujiu-youxuan,Wujiu Youxuan,nanyue-line,,,unknown,placeholder,/masters/wujiu-youxuan.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
wumen-huikai,Wumen Huikai,linji,,,unknown,placeholder,/masters/wumen-huikai.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
wuzhun-shifan,Wuzhun Shifan,yangqi-line,,,unknown,portrait,/masters/wuzhun-shifan.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
wuzu-fayan,Wuzu Fayan,linji,,,unknown,portrait,/masters/wuzu-fayan.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
xianglin-chengyuan,Xianglin Chengyuan,guiyang,,,unknown,placeholder,/masters/xianglin-chengyuan.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
xiangyan-zhixian,Xiangyan Zhixian,guiyang,,,unknown,placeholder,/masters/xiangyan-zhixian.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
xinghua-cunjiang,Xinghua Cunjiang,linji,830,888,classical,placeholder,/masters/xinghua-cunjiang.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
xingyang-qingpou,Xingyang Qingpou,guiyang,,,unknown,placeholder,/masters/xingyang-qingpou.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
xingyang-qingrang,Xingyang Qingrang,caodong,,,unknown,placeholder,/masters/xingyang-qingrang.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
xita-guangmu,Xita Guangmu,linji,,,unknown,placeholder,/masters/xita-guangmu.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
xitang-zhizang,Xitang Zhizang,nanyue-line,,,unknown,placeholder,/masters/xitang-zhizang.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
xiyuan-siming,Xiyuan Siming,linji,,,unknown,placeholder,/masters/xiyuan-siming.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
xuansha-shibei,Xuansha Shibei,qingyuan-line,835,908,classical,portrait,/masters/xuansha-shibei.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
xuedou-chongxian,Xuedou Chongxian,yunmen,980,1052,medieval,portrait,/masters/xuedou-chongxian.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
xuedou-zhijian,Xuedou Zhijian,caodong,,,unknown,portrait,/masters/xuedou-zhijian.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
xuefeng-yicun,Xuefeng Yicun,qingyuan-line,822,908,classical,portrait,/masters/xuefeng-yicun.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
xueyan-zuqin,Xueyan Zuqin,yangqi-line,1216,1287,medieval,portrait,/masters/xueyan-zuqin.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
xutang-zhiyu,Xutang Zhiyu,yangqi-line,,,unknown,portrait,/masters/xutang-zhiyu.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
yamada-koun,Yamada Koun,sanbo-zen,1907,1989,modern,portrait,/masters/yamada-koun.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
yamamoto-gempo,Yamamoto Gempo,rinzai,1866,1961,modern,portrait,/masters/yamamoto-gempo.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
yang-wuwei,Yang Wuwei,yunmen,,,unknown,placeholder,/masters/yang-wuwei.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
yangqi-fanghui,Yangqi Fanghui,yangqi-line,,,unknown,portrait,/masters/yangqi-fanghui.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
yangshan-huiji,Yangshan Huiji,caodong,,,unknown,portrait,/masters/yangshan-huiji.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
yangshan-yong,Yangshan Yong,caodong,,,unknown,placeholder,/masters/yangshan-yong.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
yanguan-qian,Yanguan Qian,nanyue-line,,,unknown,placeholder,/masters/yanguan-qian.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
yantou-quanhuo,Yantou Quanhuo,qingyuan-line,,,unknown,portrait,/masters/yantou-quanhuo.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
yanyang-shanxin,Yanyang Shanxin,nanyue-line,,,unknown,placeholder,/masters/yanyang-shanxin.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
yaoshan-weiyan,Yaoshan Weiyan,qingyuan-line,751,834,classical,portrait,/masters/yaoshan-weiyan.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
yasutani-hakuun,Yasutani Hakuun,sanbo-zen,1885,1973,modern,portrait,/masters/yasutani-hakuun.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
yongjia-xuanjue,Yongjia Xuanjue,early-chan,,713,classical,portrait,/masters/yongjia-xuanjue.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
yongming-yanshou,Yongming Yanshou,fayan,904,975,classical,portrait,/masters/yongming-yanshou.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
yozan-keiyo,Yozan Keiyo,rinzai,1559,1629,early-modern,placeholder,/masters/yozan-keiyo.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
yuantong-fashen,Yuantong Fashen,yunmen,,,unknown,placeholder,/masters/yuantong-fashen.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
yuanwu-keqin,Yuanwu Keqin,linji,,,unknown,portrait,/masters/yuanwu-keqin.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
yuean-shanguo,Yuean Shanguo,linji,,,unknown,placeholder,/masters/yuean-shanguo.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
yuelin-shiguan,Yuelin Shiguan,linji,,,unknown,placeholder,/masters/yuelin-shiguan.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
yuezhou-qianfeng,Yuezhou Qianfeng,yunmen,,,unknown,placeholder,/masters/yuezhou-qianfeng.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
yunan-kewen,Yunan Kewen,linji,,,unknown,placeholder,/masters/yunan-kewen.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
yungai-zhiyuan,Yungai Zhiyuan,qingyuan-line,,,unknown,placeholder,/masters/yungai-zhiyuan.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
yunju-daoying,Yunju Daoying,caodong,,902,classical,portrait,/masters/yunju-daoying.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
yunmen-wenyan,Yunmen Wenyan,yunmen,864,949,classical,portrait,/masters/yunmen-wenyan.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
yunyan-tansheng,Yunyan Tansheng,qingyuan-line,780,841,classical,portrait,/masters/yunyan-tansheng.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
yuquan-shenxiu,Yuquan Shenxiu,early-chan,,,unknown,portrait,/masters/yuquan-shenxiu.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
yves-shoshin-crettaz,Yves Shoshin Crettaz,soto,,,unknown,portrait,/masters/yves-shoshin-crettaz.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
zhangjing-huaiyun,Zhangjing Huaiyun,nanyue-line,,,unknown,placeholder,/masters/zhangjing-huaiyun.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
zhaozhou-congshen,Zhaozhou Congshen,nanyue-line,778,897,classical,portrait,/masters/zhaozhou-congshen.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
zhenjing-kewen,Zhenjing Kewen,linji,,,unknown,placeholder,/masters/zhenjing-kewen.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
zhenxie-qingliao,Zhenxie Qingliao,caodong,,,unknown,portrait,/masters/zhenxie-qingliao.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
zhimen-guangzuo,Zhimen Guangzuo,guiyang,,,unknown,placeholder,/masters/zhimen-guangzuo.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
zhongyi-hongen,Zhongyi Hongen,nanyue-line,,,unknown,placeholder,/masters/zhongyi-hongen.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
zhuan-shigui,Zhuan Shigui,yangqi-line,,,unknown,placeholder,/masters/zhuan-shigui.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
zifu-rubao,Zifu Rubao,linji,,,unknown,placeholder,/masters/zifu-rubao.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
zizhou-chuji,Zizhou Chuji,early-chan,669,736,classical,placeholder,/masters/zizhou-chuji.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
zizhou-zhishen,Zizhou Zhishen,early-chan,609,702,classical,portrait,/masters/zizhou-zhishen.webp,wikipedia,cc-by-sa-or-fair-use,src_wikipedia,
zoden-yoko,Zoden Yoko,soto,,,unknown,placeholder,/masters/zoden-yoko.svg,generated,generated-name-placeholder,src_editorial_biographies,name-card placeholder (no public-domain portrait available)
